Datetime,time,R2,Slope DegC/km
5/1/2020,0:01,0.239182163,-2.330545092
5/1/2020,1:01,0.115474183,NA
5/1/2020,2:01,0.67999251,-5.280568765
5/1/2020,3:01,0.586791225,-6.824790028
5/1/2020,4:01,0.475891956,-4.343479677
5/1/2020,5:01,0.000254498,NA
5/1/2020,6:01,0.147263466,NA
5/1/2020,7:01,0.042323332,NA
5/1/2020,8:01,0.271313028,4.325670985
5/1/2020,9:01,0.004856226,NA
5/1/2020,10:01,0.088441973,NA
5/1/2020,11:01,0.018724708,NA
5/1/2020,12:01,0.004265576,NA
5/1/2020,13:01,2.39956E-05,NA
5/1/2020,14:01,0.240291806,14.87938103
5/1/2020,15:01,0.095095892,NA
5/1/2020,16:01,0.047742623,NA
5/1/2020,17:01,0.180278059,NA
5/1/2020,18:01,0.146070563,NA
5/1/2020,19:01,0.010541441,NA
5/1/2020,20:01,0.127486983,NA
5/1/2020,21:01,0.077666129,NA
5/1/2020,22:01,0.2448673,4.313248342
5/1/2020,23:01,0.321369172,3.618614092
5/2/2020,0:01,0.524418019,-3.239154345
5/2/2020,1:01,0.387918774,-2.155986121
5/2/2020,2:01,0.799933965,-4.018904223
5/2/2020,3:01,0.936803563,-4.068261692
5/2/2020,4:01,0.810709726,-3.501107227
5/2/2020,5:01,0.907510079,-3.521751268
5/2/2020,6:01,0.940083821,-3.965063186
5/2/2020,7:01,0.492877593,-2.607901452
5/2/2020,8:01,0.161116742,NA
5/2/2020,9:01,0.015660799,NA
5/2/2020,10:01,0.00047769,NA
5/2/2020,11:01,0.098115226,NA
5/2/2020,12:01,0.138776912,NA
5/2/2020,13:01,0.116078248,NA
5/2/2020,14:01,0.093783458,NA
5/2/2020,15:01,0.146330289,NA
5/2/2020,16:01,0.244141097,-8.426401861
5/2/2020,17:01,0.624562153,-5.254878452
5/2/2020,18:01,0.623390902,-6.777654837
5/2/2020,19:01,0.809520688,-5.25426281
5/2/2020,20:01,0.084382019,NA
5/2/2020,21:01,0.618382638,-5.346879358
5/2/2020,22:01,0.779169264,-5.257900993
5/2/2020,23:01,0.703285061,-4.863385626
5/3/2020,0:01,0.402908234,-2.644756444
5/3/2020,1:01,0.355919757,-4.234677857
5/3/2020,2:01,0.171597332,NA
5/3/2020,3:01,0.004398255,NA
5/3/2020,4:01,0.573439864,-6.849987765
5/3/2020,5:01,0.436687039,-2.690189847
5/3/2020,6:01,0.504434182,-3.102176696
5/3/2020,7:01,0.578751469,-4.673580743
5/3/2020,8:01,0.536293127,-5.207834946
5/3/2020,9:01,0.634850941,-5.111840626
5/3/2020,10:01,0.616528838,-5.795722615
5/3/2020,11:01,0.0765808,NA
5/3/2020,12:01,0.167050596,NA
5/3/2020,13:01,0.204593891,-5.799628754
5/3/2020,14:01,0.028716519,NA
5/3/2020,15:01,0.414263901,-6.773440169
5/3/2020,16:01,0.150781906,NA
5/3/2020,17:01,0.152226846,NA
5/3/2020,18:01,0.018321529,NA
5/3/2020,19:01,0.032402639,NA
5/3/2020,20:01,0.010351535,NA
5/3/2020,21:01,0.120791233,NA
5/3/2020,22:01,0.21773507,-2.227160416
5/3/2020,23:01,0.400633979,-1.60148368
5/4/2020,0:01,0.797944289,-4.653633485
5/4/2020,1:01,0.098070613,NA
5/4/2020,2:01,0.080926373,NA
5/4/2020,3:01,0.077556356,NA
5/4/2020,4:01,0.074157477,NA
5/4/2020,5:01,0.09059335,NA
5/4/2020,6:01,0.107450305,NA
5/4/2020,7:01,0.120519732,NA
5/4/2020,8:01,0.134710988,NA
5/4/2020,9:01,0.239799422,-7.012818113
5/4/2020,10:01,0.321695942,-7.545530146
5/4/2020,11:01,0.237852662,-7.018510792
5/4/2020,12:01,0.332038149,-8.800543502
5/4/2020,13:01,0.160827519,NA
5/4/2020,14:01,0.217788504,-8.447312444
5/4/2020,15:01,0.209041098,-7.582957378
5/4/2020,16:01,0.209102203,-6.792520811
5/4/2020,17:01,0.251950824,-12.14577501
5/4/2020,18:01,0.034106563,NA
5/4/2020,19:01,0.177321239,NA
5/4/2020,20:01,0.123281303,NA
5/4/2020,21:01,0.101400568,NA
5/4/2020,22:01,0.091251526,NA
5/4/2020,23:01,0.073198756,NA
5/5/2020,0:01,0.063116633,NA
5/5/2020,1:01,0.044498801,NA
5/5/2020,2:01,0.044803933,NA
5/5/2020,3:01,0.044320746,NA
5/5/2020,4:01,0.054879481,NA
5/5/2020,5:01,0.041815696,NA
5/5/2020,6:01,0.057106433,NA
5/5/2020,7:01,0.087707361,NA
5/5/2020,8:01,0.091901123,NA
5/5/2020,9:01,0.148890706,NA
5/5/2020,10:01,0.233034228,-9.89336574
5/5/2020,11:01,0.064054461,NA
5/5/2020,12:01,0.099980284,NA
5/5/2020,13:01,0.20707849,-10.00116811
5/5/2020,14:01,0.462158532,-12.23897936
5/5/2020,15:01,0.451184538,-9.333989116
5/5/2020,16:01,0.020056219,NA
5/5/2020,17:01,0.008517949,NA
5/5/2020,18:01,0.256855577,-4.917942789
5/5/2020,19:01,0.180349161,NA
5/5/2020,20:01,0.132338947,NA
5/5/2020,21:01,0.131282335,NA
5/5/2020,22:01,0.086537343,NA
5/5/2020,23:01,0.035120248,NA
5/6/2020,0:01,0.030410653,NA
5/6/2020,1:01,0.020469811,NA
5/6/2020,2:01,0.032628029,NA
5/6/2020,3:01,0.042497683,NA
5/6/2020,4:01,0.015794444,NA
5/6/2020,5:01,0.044195701,NA
5/6/2020,6:01,0.16159478,NA
5/6/2020,7:01,0.253914484,13.47221033
5/6/2020,8:01,0.293146695,13.10828598
5/6/2020,9:01,0.331823249,12.56532552
5/6/2020,10:01,0.030002135,NA
5/6/2020,11:01,0.049196071,NA
5/6/2020,12:01,0.05093805,NA
