Date,AirT_F,PrecipAcum_in,SnowDepth_in,SWE_in
4/1/2021 0:00,27,22.5,61,19.5
4/1/2021 1:00,26,22.5,61,19.5
4/1/2021 2:00,28,22.5,61,19.5
4/1/2021 3:00,26,22.5,61,19.5
4/1/2021 4:00,27,22.5,61,19.5
4/1/2021 5:00,27,22.5,61,19.5
4/1/2021 6:00,30,22.5,61,19.4
4/1/2021 7:00,32,22.5,61,19.4
4/1/2021 8:00,37,22.5,60,19.4
4/1/2021 9:00,40,22.5,59,19.3
4/1/2021 10:00,43,22.5,59,19.4
4/1/2021 11:00,44,22.6,59,19.4
4/1/2021 12:00,46,22.6,58,19.5
4/1/2021 13:00,47,22.6,58,19.5
4/1/2021 14:00,48,22.6,58,19.5
4/1/2021 15:00,47,22.5,58,19.5
4/1/2021 16:00,46,22.6,58,19.5
4/1/2021 17:00,40,22.6,59,19.5
4/1/2021 18:00,30,22.5,59,19.6
4/1/2021 19:00,27,22.5,60,19.7
4/1/2021 20:00,24,22.5,60,19.7
4/1/2021 21:00,25,22.5,60,19.7
4/1/2021 22:00,34,22.5,60,19.6
4/1/2021 23:00,36,22.5,59,19.5
4/2/2021 0:00,36,22.5,60,19.5
4/2/2021 1:00,37,22.5,59,19.5
4/2/2021 2:00,37,22.5,59,19.5
4/2/2021 3:00,36,22.5,59,19.4
4/2/2021 4:00,36,22.5,59,19.4
4/2/2021 5:00,36,22.5,59,19.4
4/2/2021 6:00,36,22.5,59,19.4
4/2/2021 7:00,37,22.5,59,19.3
4/2/2021 8:00,42,22.5,58,19.3
4/2/2021 9:00,45,22.5,58,19.3
4/2/2021 10:00,48,22.6,57,19.4
4/2/2021 11:00,49,22.6,57,19.4
4/2/2021 12:00,49,22.6,57,19.4
4/2/2021 13:00,50,22.6,56,19.4
4/2/2021 14:00,50,22.6,55,19.4
4/2/2021 15:00,49,22.6,56,19.3
4/2/2021 16:00,49,22.6,56,19.4
4/2/2021 17:00,43,22.5,57,19.3
4/2/2021 18:00,40,22.5,57,19.3
4/2/2021 19:00,36,22.5,57,19.4
4/2/2021 20:00,33,22.5,57,19.4
4/2/2021 21:00,31,22.5,57,19.4
4/2/2021 22:00,36,22.5,57,19.4
4/2/2021 23:00,36,22.5,58,19.4
4/3/2021 0:00,35,22.5,56,19.4
4/3/2021 1:00,37,22.5,56,19.4
4/3/2021 2:00,36,22.5,56,19.4
4/3/2021 3:00,34,22.5,57,19.4
4/3/2021 4:00,36,22.5,57,19.4
4/3/2021 5:00,38,22.5,57,19.3
4/3/2021 6:00,42,22.5,57,19.3
4/3/2021 7:00,42,22.5,57,19.3
4/3/2021 8:00,47,22.5,56,19.3
4/3/2021 9:00,51,22.5,55,19.4
4/3/2021 10:00,54,22.5,54,19.3
